"","Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"0","Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","1348704438.5842","1507408171.6181","1630343440.8284","1778312497.2643","1966271277.8382","2068993689.7689","2128552799.284","2312168482.068","2415817395.0403","2422237612.7539","2701368057.0062","2830695630.4229","2732861898.1481","2948486294.4887","3225131209.2053","2730958520.7811","3419200803.0218","3239139062.1856","3764635341.7117","3367968711.2068","3238413846.0056","3286105273.536","3394441793.9487","3570658808.164","3676606602.5106","3729452520.8937","3762901964.5572","3871873899.0994","4120241310.4329","4318084058.5905","3630103508.2833","4413865993.2584"
"1","Africa Eastern and Southern","AFE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","525290041180.09","549685134621.69","536319978167.38","562030099682.61","583647911686.86","635192145517.01","682937527105.31","728679658792.75","747916142058.46","775503235523.65","823241338433.22","872128220131.84","924032830907.54","976118267655.11","1058930616102.2","1159621281992.2","1273386602984.2","1388147890968.1","1470677025909.2","1502910753381.6","1588947954637.9","1691278898241.8","1706037702362.1","1818525913138.4","1953198815921.5","2029313125186","2154919164721.4","2229494148145.5","2341466387442.8","2441759694152.9","2410925795682.7","2614134152520"
"2","Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","43017518424.315","50017440572.547","51128371958.731","59760957552.229","65266760469.319","69050351844.781","72481076025.88","70796494469.909","75695088355.124","78210930484.616","83174634965.407","81670680490.288","67358352349.672"
"3","Africa Western and Central","AFW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","341957263134.97","359149516731.04","374389853160.67","373407415113.01","385888941737.82","404977103697.78","420134760748.65","446722490584","466124321568.93","488346126976.82","494451449963.54","541069708970.64","601705972137.32","644404377027.01","711758012087.9","781519563216.95","889104075718.72","948918831351.93","1026409382316.5","1093635689165.5","1179440280334.3","1262551641841.4","1343607093805.3","1434352203045.1","1587068918728.2","1618247125999.5","1633342990564","1683432442348.3","1763606670617.3","1869061518915.6","1876354584597.9","2027717837522.1"
"4","Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","35285819495.423","40369082197.805","20500922730.189","19416015966.645","16941644849.067","32608487941.601","34686270742.203","41845008295.566","43142036296.738","41625888564.327","45571716536.555","48998228741.321","58916240019.618","62569387147.942","70611195372.995","83436173758.89","94985093973.67","111409473789.38","120728949596.38","130941812701.36","139039632835.54","148439257240.72","170976222328.79","185392118906.05","206980767331.72","194201081274.68","194190243960.59","204589335521.18","203242258671.79","202500001652.44","194792376473.78","206278150753.12"
"5","Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","8373277834.8295","6135319641.4667","5656951732.6074","6798043054.2404","7390303320.5404","8627266155.4403","9653517285.6534","8746641295.4211","9735534986.714","11045568588.62","12284789072.713","13580022163.879","14578898002.677","15606035097.369","16816502528.463","18018684855.07","20230000836.727","22235207959.814","24373768739.197","25390029892.024","27765688484.642","29649732427.7","30287948237.21","31140877607.705","32832459492.911","33984364992.181","35315568303.881","36793059582.456","38636235486.828","39359763129.545","38401790829.812","43565274037.338"
"6","Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","1531925007961.3","1703244109180","1829018232107.2","1934553356133.7","2010241427827.9","2110591235113.6","2227352245350.4","2360539558021.7","2551791753682.8","2623351439868.1","2847436999285.5","2972376583501.8","2992209784097.5","3176270773008.3","3569785330736.3","3858553244947.6","4251580374514.4","4592403561951.1","4933275173604.8","4960520056886.4","5210364308966.4","5499566018939.2","5987681604206.5","6107563405754.5","6180205768011.8","5720976331102.9","5662190000014.4","5961954476603.7","6223399720195.4","6413767978693.8","6228630578927.6",""
"8","United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","322960568228.5","334927558285.69","334928278631.5","368343133257.74","416581361920.84","455522060930.93","518487644597.05","555446366034.18","572622507068.97","545135164874.2","554648530330.45","605808815823.08","649109022131.56","664840707156.94","697903833400.73","624484063528.05","622805743361.85","650093696452.79","671840878439.04","692551507198.36","661994628215.02",""
"9","Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","224167776583.26","256347183736.94","286588852306.48","319383650737.75","344648787375.94","340568829314.43","365180121932.41","401192322763.36","419803500013.18","410652714576.91","416543213705.88","406229568312.83","359287109112.95","403170047755.34","418044160252.76","467987564262.8","568706551188.86","641116244915.93","680954189838.01","640794035811.92","711692954070.78","774475577236.93","800317625387.39","831394119044.48","822682190485.56","850943025659","865728756874.78","1012802784989.8","999331043693","993132231271.46","917722295557.32","1061536885334.1"
"10","Armenia","ARM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","9443352839.5753","8939454213.8833","4451275890.7651","4968320309.5806","5337861477.4342","6000977838.2038","6476167138.1049","7013743624.3214","7407622725.0485","7750282432.3026","8402228179.6649","9408755566.6674","10865435005.735","12611808302.998","14426393524.021","16956037657.761","19886529023.261","23371139898.254","25589642245.029","21750889670.929","22669393132.45","23905121367.199","28085043286.017","30249264888.734","30546350169.553","30350856297.562","32159509360.913","36931688582.433","39046324639.431","42643864254.201","38915231567.397","42242456978.509"
"11","American Samoa","ASM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","Antigua and Barbuda","ATG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","654710278.09158","715254148.37091","745748342.74169","817477010.46263","888690039.32186","866473215.42965","945553411.29265","1023558435.5737","1088024857.0588","1142322366.7592","1209851278.8723","1209433807.2495","1215385532.7177","1322590594.6969","1430646414.1647","1584120950.5722","1841904857.4427","2068455651.5514","2098020177.8712","1865126657.4937","1770834105.0589","1760071676.8013","1713287781.8074","1663882354.6684","1676616004.6801","1658065071.794","1755596330.0332","1791695125.5097","1971358280.5095","2072545831.4024","1754061444.4884","1936530315.601"
"13","Australia","AUS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","286147857185.76","295746634934.95","306422199332.59","329492885646.86","350895875734.58","365330757056.15","388976431977.5","411375687675.6","439014445435.15","464163614634.33","490325669913.81","518150207416.94","550345307484.53","576481116375.86","614320774692.75","641519898354.6","684059102742.96","728741551425.92","764681662095.11","843693610944.55","833801520238.25","901053702983.09","944456745113.19","1035357049815.4","1071860785176.3","1079145492508.3","1116114404243.4","1158055244042","1213931146767.2","1269039432489.4","1338141048914.6","1429735249784.7"
"14","Austria","AUT","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","150105193631.37","159676112991.8","167271958545.8","172190070466.42","179871848020.43","187527807357.24","195314503990.05","201663438911.7","211487781803.13","217144060110.01","233298406822.24","235612044611.6","250522395607.01","260400622404.77","275618225260.17","287476798281.97","312142451838.55","326766369608.11","346680570770.48","341245254707.96","354280862988.16","374289188740.57","392030460346.49","407466618825.44","417609480255.93","426732539405.34","460248078658.21","472121614071.58","498627781704.54","513848884230.03","495985448757.14","522766228265.34"
"15","Azerbaijan","AZE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","24192455869.699","19794227614.108","17781957839.582","18319097568.59","19727289129.677","22069893523.566","24932237010.048","26729639909.01","29810493441.718","32937271772.078","36882488244.255","40324484427.637","50112940094.268","69038045043.05","85968516583.854","101974605603.8","115787865664.86","124948063267.16","126513330052.28","139942118752.31","153814756946.05","161560771985.52","139536668196.98","131802753631.7","133891980747.81","137679022973.35","145069061977.34","145208915844.93","157380657197.01"
"16","Burundi","BDI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","3305868179.5555","3598839124.9831","3708938568.9685","3566243673.5725","3497593663.1529","3287826480.588","3071059961.7289","3082354570.4089","3274680316.2549","3274598935.3192","3413530970.7128","3455386002.3207","3655865389.1031","3659077807.1851","3910617249.2965","4127881290.6041","4526607288.1975","4821960531.8341","5162014020.3536","5356075850.6332","5722262798.4003","6061589359.6468","6368379910.219","7074295572.5241","7628334837.9058","8551056104.2534","8354333752.7567","8380014255.2182","8732109257.5311","9056249718.2527","9219327141.9626","9749878799.1831"
"17","Belgium","BEL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","186759015388.66","197360234053.2","204897156667.71","209780484906.11","222886946778.95","232410295526.96","236317528608.66","247503665847.24","254674705723.29","266229271979.97","292167103278.03","301669784793.25","318307798007.56","327091939053.52","338773378241.77","352001708926.34","377261003192.38","396370195671.54","415597849908.87","415141452282.65","440743653863.62","452655752838.95","480620383220.8","499349513623.74","514186705056.4","528249820624.55","555959647175.26","579048881302.26","605554359498.28","629492134526.72","619358815283.81","688981572847.58"
