Inflation,Quarter,Value
CPI forecast,2022Q3,10.022126463
CPI forecast,2022Q4,11.072140804
CPI forecast,2023Q1,10.203907816
CPI forecast,2023Q2,8.922665228
CPI forecast,2023Q3,6.855489419
CPI forecast,2023Q4,3.751158566
CPI forecast,2024Q1,2.523049048
CPI forecast,2024Q2,0.395600044
CPI forecast,2024Q3,-0.204363708
CPI forecast,2024Q4,-0.147238179
CPI forecast,2025Q1,-0.092069238
CPI forecast,2025Q2,-0.628672295
CPI forecast,2025Q3,-1.112448019
CPI forecast,2025Q4,-1.265753842
CPI forecast,2026Q1,-1.027706333
CPI forecast,2026Q2,-0.377942041
CPI forecast,2026Q3,0.864828415
CPI forecast,2026Q4,1.247220021
CPI forecast,2027Q1,1.495149387
CPI forecast,2027Q2,1.654298165
CPI forecast,2027Q3,1.810326593
CPI forecast,2027Q4,1.900425676
CPI forecast,2028Q1,1.999914806
CPI forecast index,2022Q3,123.150333333
CPI forecast index,2022Q4,127.054681385
CPI forecast index,2023Q1,127.770043375
CPI forecast index,2023Q2,131.668259257
CPI forecast index,2023Q3,131.592891405
CPI forecast index,2023Q4,131.820703950
CPI forecast index,2024Q1,130.993744238
CPI forecast index,2024Q2,132.189138948
CPI forecast index,2024Q3,131.323963292
CPI forecast index,2024Q4,131.626613546
CPI forecast index,2025Q1,130.873139296
CPI forecast index,2025Q2,131.358102454
CPI forecast index,2025Q3,129.863052463
CPI forecast index,2025Q4,129.960544627
CPI forecast index,2026Q1,129.528147755
CPI forecast index,2026Q2,130.861644961
CPI forecast index,2026Q3,130.986145042
CPI forecast index,2026Q4,131.581438560
CPI forecast index,2027Q1,131.464787063
CPI forecast index,2027Q2,133.026486751
CPI forecast index,2027Q3,133.357422059
CPI forecast index,2027Q4,134.082046003
CPI forecast index,2028Q1,134.093970804
CPI outturn,1997Q1,1.908957416
CPI outturn,1997Q2,1.596516691
CPI outturn,1997Q3,2.031930334
CPI outturn,1997Q4,1.729106628
CPI outturn,1998Q1,1.585014409
CPI outturn,1998Q2,1.857142857
CPI outturn,1998Q3,1.280227596
CPI outturn,1998Q4,1.416430595
CPI outturn,1999Q1,1.560283688
CPI outturn,1999Q2,1.402524544
