category,Median Home Price (NSA),CPI-Adjusted Price
Wed Jan 15 1992,98246.45,212010.29
Sat Feb 15 1992,98890.41,212630.08
Sun Nov 15 1992,100841.5,211633.64
Tue Dec 15 1992,100437.82,210934.99
Fri Jan 15 1993,100187.93,209377.32
Mon Feb 15 1993,99928.43,208105.32
Thu Jul 15 1993,102446.58,211428.74
Wed Dec 15 1993,103599.93,211755.98
Sat Jan 15 1994,103523.04,211019.89
Tue Feb 15 1994,103667.21,210593.54
Tue Nov 15 1994,106473.7,211960.19
Thu Dec 15 1994,106156.53,211328.79
Sun Jan 15 1995,106127.7,210428
Wed Feb 15 1995,106627.48,210578.32
Wed Nov 15 1995,109184.08,211837.02
Fri Dec 15 1995,109318.64,212236.26
Mon Jan 15 1996,109395.53,211147.54
Sun Dec 15 1996,112259.69,210937.8
Wed Jan 15 1997,112115.52,210004.84
Sat Feb 15 1997,112375.03,209831.5
Mon Dec 15 1997,115998.48,214314.56
Thu Jan 15 1998,116161.87,214218.01
Thu Oct 15 1998,122092.03,221859.09
Sun Nov 15 1998,122620.65,222819.67
Tue Dec 15 1998,122832.09,223340.07
Fri Jan 15 1999,123274.21,223598.26
Mon Feb 15 1999,123735.55,224162.18
Fri Oct 15 1999,129819.49,230010.5
Mon Nov 15 1999,130030.94,230248.25
Wed Dec 15 1999,130309.67,230741.8
Sat Jan 15 2000,131587.97,232315.13
Tue Feb 15 2000,131357.3,230542.12
Tue Aug 15 2000,137662.29,237413.28
Fri Dec 15 2000,139546.1,239002.37
Mon Jan 15 2001,140142,238515.12
Thu Feb 15 2001,141055.07,239113.22
Thu Mar 15 2001,142314.15,240699.91
Sat Dec 15 2001,148869.04,251073.91
Tue Jan 15 2002,149349.6,251315.49
Fri Feb 15 2002,150195.39,251743.69
Sun Dec 15 2002,160421.79,264276.5
Wed Jan 15 2003,160931.19,263948.41
Fri Aug 15 2003,170004.23,274449.08
Mon Dec 15 2003,173137.51,279962.32
Thu Jan 15 2004,173656.52,279436.97
Sun Feb 15 2004,175127.04,280289.79
Mon Nov 15 2004,189851.52,296220.06
Wed Dec 15 2004,190764.59,298739.55
Sat Jan 15 2005,191418.15,299134.27
Tue Feb 15 2005,193090.51,300017.15
Thu Sep 15 2005,208055.27,311886.15
Thu Dec 15 2005,209506.57,317253.41
Sun Jan 15 2006,210015.97,315619.16
Wed Nov 15 2006,215109.95,318140.68
Fri Dec 15 2006,214177.65,316290.93
Mon Jan 15 2007,214043.09,315130.27
Thu Feb 15 2007,214706.27,314424.37
Thu Mar 15 2007,216369.02,314000.18
Thu Nov 15 2007,208958.73,296284.6
Sat Dec 15 2007,206786.58,293401.52
Tue Jan 15 2008,204153.09,288232.28
Fri Feb 15 2008,203432.25,286382.88
Sat Mar 15 2008,202384.62,282459.66
Mon Dec 15 2008,185190.05,262519.06
Thu Jan 15 2009,185805.17,262249.61
Sun Feb 15 2009,186487.57,261910.31
Thu Oct 15 2009,184738.32,254672.03
Sun Nov 15 2009,184574.93,254266.83
Tue Dec 15 2009,181460.87,250418
Fri Jan 15 2010,180528.58,248282.93
Mon Feb 15 2010,180086.46,247613.17
Mon Mar 15 2010,180624.69,247337.58
Thu Jul 15 2010,181826.1,248548.74
Sun Aug 15 2010,181095.64,247208.92
Wed Sep 15 2010,178558.27,243603.51
Tue Feb 15 2011,170926.91,230168.09
Tue Mar 15 2011,169888.9,226561.11
Fri Jul 15 2011,174877.15,230679.12
Mon Aug 15 2011,173714.18,228514.91
Thu Sep 15 2011,173887.19,228395.69
Thu Dec 15 2011,171551.65,226543.17
Sun Jan 15 2012,169773.56,223212.93
Wed Feb 15 2012,170225.29,222825.75
Thu Mar 15 2012,172849.17,224555.03
Sat Dec 15 2012,180124.9,233794.2
Tue Jan 15 2013,180297.91,233328.73
Fri Feb 15 2013,181547.37,233037.11
Fri Mar 15 2013,184844.04,236650.05
Thu Aug 15 2013,193638.36,246738.91
Sun Dec 15 2013,192235.11,245821.13
Wed Jan 15 2014,191898.72,244481.44
Sat Feb 15 2014,192869.46,244812.88
Sat Mar 15 2014,195185.77,246167.69
Mon Dec 15 2014,201586.88,255844.29
Thu Jan 15 2015,200712.26,255938.68
Sun Feb 15 2015,202528.79,257138.27
Sun Nov 15 2015,212716.74,267098.72
Tue Dec 15 2015,212399.57,267614.93
Fri Jan 15 2016,212303.45,267052.36
Mon Feb 15 2016,212918.58,267605.85
Tue Mar 15 2016,216628.53,271101.33
Thu Dec 15 2016,225403.62,278227.34
Sun Jan 15 2017,224557.83,275577.35
Wed Feb 15 2017,226508.92,277099.94
Wed Nov 15 2017,239657.14,289540.65
Fri Dec 15 2017,239311.14,289292.69
Mon Jan 15 2018,240262.65,288869.24
Sun Apr 15 2018,247913.23,294880.45
Mon Oct 15 2018,252584.31,297657.65
Thu Nov 15 2018,253295.54,299498.93
Sat Dec 15 2018,252468.97,299478.1
Tue Jan 15 2019,253218.65,299795.78
Fri Feb 15 2019,254823.73,300426.19
Fri Nov 15 2019,266693.66,309002.48
Sun Dec 15 2019,267308.78,309997.21
Wed Jan 15 2020,268433.3,310098.21
Sat Feb 15 2020,271518.52,312805.02
Sun Nov 15 2020,296671.23,339745.33
Tue Dec 15 2020,298776.09,341833.96
Fri Jan 15 2021,301582.59,343583.39
Mon Feb 15 2021,306099.89,346831.12
Wed Dec 15 2021,352368.56,376647.44
Sat Jan 15 2022,356943.53,378353.95
Mon Aug 15 2022,381855.96,384229.58
Thu Sep 15 2022,381481.12,383028.6
